fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-01,1,0,0,0
2020-04-02,1,-1,1,0
2020-04-03,2,0,0,0
2020-04-04,2,1,0,1
2020-04-05,3,1,0,1
2020-04-06,1,1,0,1
2020-04-07,2,1,0,1
2020-04-08,8,1,3,4
2020-04-09,7,0,4,4
2020-04-10,11,2,3,5
2020-04-11,17,2,3,5
2020-04-12,63,1,3,4
2020-04-13,65,1,3,4
2020-04-14,16,4,1,5
2020-04-15,23,-1,3,2
2020-04-16,17,1,4,5
2020-04-17,12,2,6,8
2020-04-18,16,3,4,7
2020-04-19,17,3,3,6
2020-04-20,19,3,4,7
2020-04-21,24,0,5,5
2020-04-22,27,0,6,6
2020-04-23,22,-1,8,7
2020-04-24,22,3,9,12
2020-04-25,27,4,10,14
2020-04-26,31,5,10,15
2020-04-27,23,4,4,8
2020-04-28,35,8,13,21
2020-04-29,30,9,14,23
2020-04-30,35,9,18,27
2020-05-01,41,7,19,26
2020-05-02,26,12,17,29
2020-05-03,34,9,19,28
2020-05-04,29,12,20,32
2020-05-05,33,12,20,32
2020-05-06,37,13,18,31
2020-05-07,45,8,20,28
2020-05-08,35,17,17,34
2020-05-09,35,16,15,31
2020-05-10,41,12,16,28
2020-05-11,52,12,19,31
2020-05-12,50,13,22,35
2020-05-13,59,18,22,40
2020-05-14,61,19,22,41
2020-05-15,75,21,25,46
2020-05-16,89,13,26,39
2020-05-17,72,7,11,18
2020-05-18,88,16,27,43
2020-05-19,90,19,27,46
2020-05-20,110,12,23,35
2020-05-21,112,14,21,35
2020-05-22,122,13,23,36
2020-05-23,122,21,22,43
2020-05-24,126,19,23,42
2020-05-25,132,21,21,42
2020-05-26,124,20,22,42
2020-05-27,134,8,32,40
2020-05-28,124,15,26,41
2020-05-29,130,14,22,36
2020-05-30,129,21,17,38
2020-05-31,130,21,18,39
2020-06-01,121,17,20,37
2020-06-02,130,21,17,38
2020-06-03,149,23,21,44
2020-06-04,175,21,22,43
2020-06-05,186,16,23,39
2020-06-06,151,25,19,44
2020-06-07,179,25,21,46
2020-06-08,180,31,19,50
2020-06-09,179,39,17,56
2020-06-10,170,41,19,60
2020-06-11,165,50,18,68
2020-06-12,151,46,21,67
2020-06-13,152,43,20,63
2020-06-14,161,39,24,63
2020-06-15,177,45,20,65
2020-06-16,176,47,24,71
2020-06-17,187,42,25,67
2020-06-18,169,44,21,65
2020-06-19,179,27,43,70
2020-06-20,177,28,48,76
2020-06-21,177,33,47,80
2020-06-22,181,32,50,82
2020-06-23,167,25,55,80
2020-06-24,171,27,54,81
2020-06-25,167,24,51,75
2020-06-26,167,26,50,76
2020-06-27,158,29,45,74
2020-06-28,146,34,41,75
2020-06-29,161,24,50,74
2020-06-30,171,16,46,62
2020-07-01,170,20,64,84
2020-07-02,161,23,59,82
2020-07-03,165,40,49,89
2020-07-04,158,34,51,85
2020-07-05,154,33,53,86
2020-07-06,163,34,47,81
2020-07-07,173,22,50,72
2020-07-08,192,20,54,74
2020-07-09,188,15,58,73
2020-07-10,191,18,58,76
2020-07-11,215,16,60,76
2020-07-12,213,17,59,76
2020-07-13,204,27,56,83
2020-07-14,195,21,53,74
2020-07-15,191,21,52,73
2020-07-16,222,10,62,72
2020-07-17,210,6,65,71
2020-07-18,205,11,60,71
2020-07-19,196,4,60,64
2020-07-20,222,6,61,67
2020-07-21,224,7,63,70
2020-07-22,221,14,60,74
2020-07-23,208,8,55,63
2020-07-24,181,23,46,69
2020-07-25,193,13,58,71
2020-07-26,211,5,63,68
2020-07-27,203,13,59,72
2020-07-28,205,5,60,65
2020-07-29,201,-1,55,54
2020-07-30,214,9,59,68
2020-07-31,219,0,62,62
2020-08-01,221,3,63,66
2020-08-02,231,0,62,62
2020-08-03,191,2,63,65
2020-08-04,205,7,65,72
2020-08-05,191,10,61,71
2020-08-06,188,9,61,70
