fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-08,1,1,0,1
2020-04-09,1,1,0,1
2020-04-10,1,1,0,1
2020-04-11,0,2,0,2
2020-04-12,0,2,0,2
2020-04-13,4,2,0,2
2020-04-14,4,2,0,2
2020-04-15,3,3,0,3
2020-04-16,3,3,0,3
2020-04-17,3,3,0,3
2020-04-18,1,3,0,3
2020-04-19,1,3,0,3
2020-04-20,2,3,0,3
2020-04-21,7,3,0,3
2020-04-22,7,3,0,3
2020-04-23,6,3,0,3
2020-04-24,10,3,0,3
2020-04-25,11,3,0,3
2020-04-26,9,3,0,3
2020-04-27,18,5,0,5
2020-04-28,16,4,0,4
2020-04-29,21,3,0,3
2020-04-30,22,3,1,4
2020-05-01,32,4,1,5
2020-05-02,29,4,1,5
2020-05-03,38,1,2,3
2020-05-04,38,0,3,3
2020-05-05,45,1,3,4
2020-05-06,45,1,3,4
2020-05-07,38,0,2,2
2020-05-08,56,0,5,5
2020-05-09,47,2,3,5
2020-05-10,54,5,4,9
2020-05-11,58,4,4,8
2020-05-12,41,4,3,7
2020-05-13,55,8,5,13
2020-05-14,52,11,4,15
2020-05-15,45,10,5,15
2020-05-16,53,10,5,15
2020-05-17,56,10,5,15
2020-05-18,42,10,5,15
2020-05-19,40,2,3,5
2020-05-20,57,7,4,11
2020-05-21,60,8,4,12
2020-05-22,68,8,4,12
2020-05-23,53,6,4,10
2020-05-24,60,7,2,9
2020-05-25,68,8,2,10
2020-05-26,57,5,1,6
2020-05-27,67,8,1,9
2020-05-28,62,5,2,7
2020-05-29,72,7,3,10
2020-05-30,58,6,1,7
2020-05-31,78,7,2,9
2020-06-01,63,7,3,10
2020-06-02,78,9,3,12
2020-06-03,79,11,3,14
2020-06-04,75,8,3,11
2020-06-05,74,11,2,13
2020-06-06,64,8,0,8
2020-06-07,66,11,0,11
2020-06-08,83,13,1,14
2020-06-09,94,11,4,15
2020-06-10,94,11,4,15
2020-06-11,92,14,4,18
2020-06-12,93,14,4,18
2020-06-13,90,14,1,15
2020-06-14,103,20,2,22
2020-06-15,104,14,2,16
2020-06-16,103,15,2,17
2020-06-17,113,18,2,20
2020-06-18,131,18,2,20
2020-06-19,125,16,4,20
2020-06-20,124,15,4,19
2020-06-21,132,17,3,20
2020-06-22,150,18,4,22
2020-06-23,163,20,4,24
2020-06-24,180,8,17,25
2020-06-25,172,22,6,28
2020-06-26,162,22,2,24
2020-06-27,171,23,6,29
2020-06-28,179,23,5,28
2020-06-29,191,24,4,28
2020-06-30,197,24,5,29
2020-07-01,201,30,5,35
2020-07-02,221,26,6,32
2020-07-03,215,26,6,32
2020-07-04,230,27,5,32
2020-07-05,240,28,6,34
2020-07-06,246,25,6,31
2020-07-07,238,26,6,32
2020-07-08,261,25,6,31
2020-07-09,261,25,6,31
2020-07-10,250,24,5,29
2020-07-11,214,17,3,20
2020-07-12,247,22,7,29
2020-07-13,240,21,4,25
