fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,0,0,0,0
2020-04-08,1,1,0,1
2020-04-09,0,1,0,1
2020-04-10,0,1,0,1
2020-04-11,2,0,1,1
2020-04-12,3,0,1,1
2020-04-13,3,1,0,1
2020-04-14,2,3,0,3
2020-04-15,3,2,0,2
2020-04-16,5,1,0,1
2020-04-17,6,2,0,2
2020-04-18,8,2,0,2
2020-04-19,5,2,0,2
2020-04-20,4,1,0,1
2020-04-21,6,0,0,0
2020-04-22,6,0,0,0
2020-04-23,6,0,0,0
2020-04-24,6,0,0,0
2020-04-25,8,0,0,0
2020-04-26,9,0,0,0
2020-04-27,8,0,0,0
2020-04-28,13,0,5,5
2020-04-29,16,0,5,5
2020-04-30,17,0,5,5
2020-05-01,13,0,4,4
2020-05-02,15,0,3,3
2020-05-03,16,0,1,1
2020-05-04,22,0,0,0
2020-05-05,23,0,0,0
2020-05-06,17,0,1,1
2020-05-07,23,0,1,1
2020-05-08,18,1,3,4
2020-05-09,16,0,3,3
2020-05-10,13,0,3,3
2020-05-11,11,0,3,3
2020-05-12,11,0,3,3
2020-05-13,15,0,4,4
2020-05-14,18,-1,4,3
2020-05-15,19,0,3,3
2020-05-16,15,0,4,4
2020-05-17,18,0,4,4
2020-05-18,15,0,5,5
2020-05-19,16,2,3,5
2020-05-20,10,1,2,3
2020-05-21,10,1,2,3
2020-05-22,16,2,3,5
2020-05-23,16,2,3,5
2020-05-24,20,0,5,5
2020-05-25,24,0,5,5
2020-05-26,21,1,6,7
2020-05-27,37,2,5,7
2020-05-28,39,0,5,5
2020-05-29,34,0,6,6
2020-05-30,20,0,5,5
2020-05-31,29,1,4,5
2020-06-01,26,4,5,9
2020-06-02,17,4,5,9
2020-06-03,12,6,6,12
2020-06-04,20,6,8,14
2020-06-05,23,7,8,15
2020-06-06,14,6,8,14
2020-06-07,26,5,11,16
2020-06-08,22,6,11,17
2020-06-09,32,1,9,10
2020-06-10,26,5,10,15
2020-06-11,33,4,9,13
2020-06-12,29,5,8,13
2020-06-13,32,4,8,12
2020-06-14,37,3,9,12
2020-06-15,38,5,8,13
2020-06-16,41,4,8,12
2020-06-17,43,4,9,13
2020-06-18,36,4,10,14
2020-06-19,37,6,10,16
2020-06-20,38,4,10,14
2020-06-21,36,6,8,14
2020-06-22,37,6,9,15
2020-06-23,44,9,10,19
2020-06-24,49,4,10,14
2020-06-25,44,12,7,19
2020-06-26,54,13,7,20
2020-06-27,59,12,7,19
2020-06-28,60,13,4,17
2020-06-29,56,14,5,19
2020-06-30,66,13,7,20
2020-07-01,66,9,8,17
2020-07-02,64,8,9,17
